Country,Energy Type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,Natural Gas,1988,20810.99083419462,21058.017349394493,42106.595403,4927545.0842,239288107036820.62,28002808687.135048,3571.676242214
World,Petroleum & Other Liquids,1988,39109.10749399944,38827.60957759283,42106.595403,4927545.0842,239288107036820.62,28002808687.135048,8661.239489543545
World,Nuclear,1988,5634.847282753994,5634.847282753994,42106.595403,4927545.0842,239288107036820.62,28002808687.135048,0
World,Renewables,1988,7305.524441816121,7433.232746364368,42106.595403,4927545.0842,239288107036820.62,28002808687.135048,0
World,All,1989,102971.21105637634,103749.5398600254,44075.6352239,5056794.37357,237079897100094.1,27200159082.272884,21842.542051064
World,Coal,1989,28402.09212320902,29218.537370458376,44075.6352239,5056794.37357,237079897100094.1,27200159082.272884,9201.30690363281
World,Natural Gas,1989,21754.585315367567,21767.95182646347,44075.6352239,5056794.37357,237079897100094.1,27200159082.272884,3753.118806616
World,Petroleum & Other Liquids,1989,39575.379627441864,39421.64758662976,44075.6352239,5056794.37357,237079897100094.1,27200159082.272884,8888.116340815435
World,Nuclear,1989,5785.217297525192,5785.217297525192,44075.6352239,5056794.37357,237079897100094.1,27200159082.272884,0
World,Renewables,1989,7455.005792357938,7556.1857789486,44075.6352239,5056794.37357,237079897100094.1,27200159082.272884,0
World,All,1990,103613.77448247928,104872.41171141126,49229.890519,5294251.48698,227859495240088.3,24504329763.475048,22158.630157995
World,Coal,1990,28096.199052441545,29046.490889354576,49229.890519,5294251.48698,227859495240088.3,24504329763.475048,9208.270755032696
World,Natural Gas,1990,22016.442241726607,22188.589659104877,49229.890519,5294251.48698,227859495240088.3,24504329763.475048,3925.341385303
World,Petroleum & Other Liquids,1990,39896.799135331166,39916.42188638996,49229.890519,5294251.48698,227859495240088.3,24504329763.475048,9025.018017657594
World,Nuclear,1990,5966.024751703203,5966.024751703203,49229.890519,5294251.48698,227859495240088.3,24504329763.475048,0
World,Renewables,1990,7653.191308666778,7754.88452485865,49229.890519,5294251.48698,227859495240088.3,24504329763.475048,0
World,All,1991,103716.03406076736,104078.57249941991,50156.762624,5396473.6766,223763910067209.75,24075239056.058643,22144.802907335
World,Coal,1991,27195.039864009457,27734.97255693553,50156.762624,5396473.6766,223763910067209.75,24075239056.058643,9099.92120767272
World,Natural Gas,1991,22487.313456744003,22433.508763198293,50156.762624,5396473.6766,223763910067209.75,24075239056.058643,3971.958025298
World,Petroleum & Other Liquids,1991,39986.8711433838,39765.22910662754,50156.762624,5396473.6766,223763910067209.75,24075239056.058643,9072.923674364718
World,Nuclear,1991,6208.115593255786,6208.115593255786,50156.762624,5396473.6766,223763910067209.75,24075239056.058643,0
World,Renewables,1991,7837.7742692784095,7936.746479402765,50156.762624,5396473.6766,223763910067209.75,24075239056.058643,0
World,All,1992,103410.48905081654,103728.4173185899,51016.352946,5481774.19023,219633030423209.1,23599857848.92033,21974.86771129
World,Coal,1992,26475.051629212663,27127.8479741936,51016.352946,5481774.19023,219633030423209.1,23599857848.92033,8815.93197181372
World,Natural Gas,1992,22598.858980725105,22561.848668508308,51016.352946,5481774.19023,219633030423209.1,23599857848.92033,4055.906399638
World,Petroleum & Other Liquids,1992,40250.87282047182,39849.5577547235,51016.352946,5481774.19023,219633030423209.1,23599857848.92033,9103.0293398383
World,Nuclear,1992,6236.47628542415,6236.47628542415,51016.352946,5481774.19023,219633030423209.1,23599857848.92033,0
World,Renewables,1992,7838.159571162531,7952.686635740338,51016.352946,5481774.19023,219633030423209.1,23599857848.92033,0
World,All,1993,104238.44804701691,103921.33894758628,52108.495098,5581568.66482,217433205538129.28,23290220998.333324,21766.142146958
World,Coal,1993,26481.341845890056,26316.02542579162,52108.495098,5581568.66482,217433205538129.28,23290220998.333324,8579.464301276748
World,Natural Gas,1993,23184.923216510306,22936.24499063545,52108.495098,5581568.66482,217433205538129.28,23290220998.333324,4075.491754392
World,Petroleum & Other Liquids,1993,39904.17887974847,39906.36782618847,52108.495098,5581568.66482,217433205538129.28,23290220998.333324,9111.18609129243
World,Nuclear,1993,6450.031767853307,6450.031767853307,52108.495098,5581568.66482,217433205538129.28,23290220998.333324,0
World,Renewables,1993,8210.83649870032,8312.66893711743,52108.495098,5581568.66482,217433205538129.28,23290220998.333324,0
World,All,1994,105365.62297154687,105702.86415508532,53646.343445,5663996.1634,216585906104433.4,22867201424.07692,21891.921080269
World,Coal,1994,26611.016880151623,26822.70955043416,53646.343445,5663996.1634,216585906104433.4,22867201424.07692,8576.38363770498
World,Natural Gas,1994,23152.883862373124,23180.72938451896,53646.343445,5663996.1634,216585906104433.4,22867201424.07692,4181.691129489
World,Petroleum & Other Liquids,1994,40699.51830572065,40678.154122053566,53646.343445,5663996.1634,216585906104433.4,22867201424.07692,9133.846313074948
World,Nuclear,1994,6566.5158224713405,6566.5158224713405,53646.343445,5663996.1634,216585906104433.4,22867201424.07692,0
World,Renewables,1994,8305.82700332739,8454.755275607302,53646.343445,5663996.1634,216585906104433.4,22867201424.07692,0
World,All,1995,108249.89925895497,108018.91307740248,55384.826679,5745283.94102,219366450133327.88,22755736881.76664,22064.884266997
World,Coal,1995,27372.16912440856,27267.202030638557,55384.826679,5745283.94102,219366450133327.88,22755736881.76664,8615.11961790755
World,Natural Gas,1995,23833.834872617386,23521.70503406386,55384.826679,5745283.94102,219366450133327.88,22755736881.76664,4174.75467229
World,Petroleum & Other Liquids,1995,41501.71883710639,41557.068774459265,55384.826679,5745283.94102,219366450133327.88,22755736881.76664,9275.00997680021
World,Nuclear,1995,6816.234470441411,6816.234470441411,55384.826679,5745283.94102,219366450133327.88,22755736881.76664,0
World,Renewables,1995,8703.20151704221,8856.70276779939,55384.826679,5745283.94102,219366450133327.88,22755736881.76664,0
World,All,1996,111130.09608412882,110708.52608958627,57529.161409,5826303.733,222071472473963.7,22490434718.303535,22552.701540911
World,Coal,1996,27969.762532136418,27846.16062032188,57529.161409,5826303.733,222071472473963.7,22490434718.303535,8861.830258509253
World,Natural Gas,1996,24383.060755760765,24170.354476710545,57529.161409,5826303.733,222071472473963.7,22490434718.303535,4297.390278663
World,Petroleum & Other Liquids,1996,42804.85137855661,42592.86339346408,57529.161409,5826303.733,222071472473963.7,22490434718.303535,9393.481003739906
World,Nuclear,1996,7065.34766863302,7065.34766863302,57529.161409,5826303.733,222071472473963.7,22490434718.303535,0
World,Renewables,1996,8884.8586087723,9033.799930456746,57529.161409,5826303.733,222071472473963.7,22490434718.303535,0
World,All,1997,111471.61536494699,112042.03768973875,59832.326571,5906491.02599,219729794633437.78,21691151498.26163,23042.161849148
