...1,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,latitude,longitude
54054,World,all_energy_types,2019,601.0404899538854,611.5089686476265,127690.247059,7714631.06383,77.90916830382986,4.707019555504277,35584.933497695,NA,NA
54060,Afghanistan,all_energy_types,2019,0.12274842133951255,0.05521030952760256,79.4546,38050.9,3.225900605229116,1.544887537531025,9.391163087,33.93911,67.709953
54066,Albania,all_energy_types,2019,0.1107482409326914,0.08908229857345225,38.2684,2879.92,38.455318527143604,2.893986707902379,4.031301559,41.153332,20.168331
54072,Algeria,all_energy_types,2019,2.643502654452609,6.429790182459667,509.066,43030.4,61.43337395080243,5.192848578480215,145.987969135,28.033886,1.659626
54078,American Samoa,all_energy_types,2019,0.00491150889581863,0,NA,55.312,88.79644373406562,0,0.35542766,-14.270972,-170.132217
54084,Angola,all_energy_types,2019,0.372427780585,3.5102084014823185,193.826,31849.8,11.693253351198438,1.9214541938903968,17.644576606,-11.202692,17.873887
54090,Antarctica,all_energy_types,2019,1.865087e-4,0,NA,NA,0,0,0.013782287,-75.250973,-0.071389
54096,Antigua and Barbuda,all_energy_types,2019,0.0104000061,1.3356e-4,2.12893,97.0566,107.15403280147872,4.885085982160052,0.7348894,17.060816,-61.796428
54102,Argentina,all_energy_types,2019,3.545507099370268,3.493367836166464,833.501,44832.7,79.08305989535022,4.253752664208283,191.358658271,-38.416097,-63.616672
54108,Armenia,all_energy_types,2019,0.15681441220195597,0.04490399116,35.5628,2957.09,53.0299761596556,4.409506906147884,5.976457104,40.069099,45.038189
54114,Aruba,all_energy_types,2019,0.01856476484799999,0.001306323648,3.20784,106.298,174.64829863214734,5.787310105242156,1.20493081,12.52111,-69.968338
54120,Australia,all_energy_types,2019,6.394487619108519,18.95493672083794,1226.586,25407.68,251.67538394330057,5.213240342795792,410.865148205,-25.274398,133.775136
54126,Austria,all_energy_types,2019,1.5220260353460784,0.5674874989252223,467.708,8885.205,171.29892167328478,3.254222795731692,63.844027897,47.516231,14.550072
54132,Azerbaijan,all_energy_types,2019,0.6472366689189806,2.518580542592398,145.705,10041.2,64.45809952186796,4.442103352108579,33.285637886,40.143105,47.576927
54138,Bahrain,all_energy_types,2019,0.8130655406214,1.1156651018182526,70.4457,1483.76,547.9764521360597,11.541734138796263,39.014442502,25.930414,50.637772
54144,Bangladesh,all_energy_types,2019,1.616632735748046,1.1091070821938185,798.113,163021,9.916714630311716,2.025568729926772,90.78163083,23.684994,90.356331
